date,importer_ko,product_name,product_type_ko,country_origin_ko,country_export_ko,expiry_date,notes,ingested_at
2023-08-29,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,대호제약주식회사,건조녹용,녹용(건조),뉴질랜드,중국,2023-07-21 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-13 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-02,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,화용제약,녹용,녹용(건조),뉴질랜드,중국,2023-07-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,천지담은 바이오,녹용,녹용(건조),뉴질랜드,중국,2023-07-03 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,향나바이오 주식회사,녹용,녹용(건조),뉴질랜드,중국,2023-07-03 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,(주)케이앤씨디어트레이드,건조녹용,녹용(건조),뉴질랜드,중국,2023-06-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-06-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-07-14,(주)케이앤씨디어트레이드,건조녹용,녹용(건조),뉴질랜드,중국,2023-06-18 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-12,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,홍콩,2023-06-29 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-11,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-07-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-03,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-28,(주)한국인삼공사,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-07,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-05-12 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-06-02,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-02,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,2023-05-17 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-05-23,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-05-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-05-08,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-03-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,중국,2023-03-29 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,대호제약주식회사,건조녹용,녹용(건조),뉴질랜드,중국,2023-04-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-11,(주)온누리바이오생약,녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2023-03-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-11,케이앤씨(K&C),건조녹용,녹용(건조),뉴질랜드,중국,2023-03-26 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-11,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2023-02-16 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-04,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-03-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-04,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-03-21 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-04,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-03-30,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-03-28,(주)천호엔케어,녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-03-06 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-03-24,(주)시원생약,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2023-03-06 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-03-21,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-03-13,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,2023-02-15 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-03-07,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-02-28,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-02-28,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-02-07 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-02-28,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-02-13 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-02-17,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-02-08,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-02-03,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-01-11 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-02-03,흥수녹용,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2023-01-31,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2022-12-22 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-01-25,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-01-25,(주)이룸제약법인,건조녹용,녹용(건조),뉴질랜드,중국,2023-01-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-01-17,(주)이룸제약법인,건조녹용,녹용(건조),뉴질랜드,중국,2023-01-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-01-10,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-01-03,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2022-12-16 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-21,유진통상,건조녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2022-12-21,유진통상,건조녹용,녹용(건조),뉴질랜드,중국,2022-11-30 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-21,(주)온누리바이오생약,녹용,녹용(냉동),뉴질랜드,뉴질랜드,2022-12-05 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-15,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2022-12-08 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-13,(주)바이오닷,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2022-12-07 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-13,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2022-12-01 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-13,일성식품,녹용,녹용(건조),뉴질랜드,중국,2022-11-16 ~,,2026-07-04T23:37:12Z (bootstrap)
2022-12-07,조은생약,녹용,녹용(건조),러시아,러시아,2022-10-24 ~,,2026-07-04T23:37:12Z (bootstrap)
