date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2024-11-01,주식회사 유한건강생활,DRIED DEER VELVET POWDER,녹용분말,Animal based processed food,New Zealand,주식회사 유한건강생활,Yuhan Care,
2024-10-04,한스약품주식회사,DRIED REDDEER VELVET ANTLER(WHOLE),건조녹용,Deer velvet (dried),China,한스약품주식회사,Hans Pharm Inc,
2024-08-06,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2024-08-06,와이더블유 인터내셔날,FROZEN WHOLE DEER VELVET ANTLER,냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-08-06,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-08-06,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2024-07-26,유진통상,DRIED RED DEER VELVET ANTLEK,건조녹용,Deer velvet (dried),New Zealand,유진통상,Yujin Trade,
2024-07-17,주식회사 유한건강생활,DRIED DEER VELVET POWDER,녹용분말,Animal based processed food,New Zealand,주식회사 유한건강생활,Yuhan Care,
2024-07-08,(주)디에이치지글로벌,DEER HORN,녹용,Deer velvet (dried),Russia,(주)디에이치지글로벌,DHG Global,
2024-06-26,유진통상,DEER HORNS,건조녹용,Deer velvet (dried),Russia,유진통상,Yujin Trade,
2024-06-13,(주)용보제약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)용보제약,YongBo,
2024-06-10,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-06-07,(주)우성생약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)우성생약,WooSung,
2024-05-29,(주)대덕제약,DEER HORNS (CERVUS ELAPHUS SIBIRICUS),녹용,Deer velvet (dried),Russia,(주)대덕제약,Daedeok Pharm.,
2024-05-29,명가녹용 주식회사,DEER HORNS (CERVUS ELAPHUS SIBIRICUS),녹용,Deer velvet (dried),Russia,명가녹용 주식회사,MyungGa,
2024-05-24,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2024-05-24,주식회사 비봉허브,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 비봉허브,Bibong Herb,
2024-05-10,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-05-03,록원,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,록원,Rokone,
2024-05-03,(주)대원알디티,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,(주)대원알디티,DaeWon RTD,
2024-05-03,흥수녹용,MARAL DEER HORNS,녹용(건조),Deer velvet (dried),Russia,흥수녹용,Heungsoo Nogyong,
2024-05-01,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),Russia,(주)온누리바이오생약,Onnuri Bio,
2024-05-01,천지담은 바이오,DEER HORN,녹용,Deer velvet (dried),Russia,천지담은 바이오,CheonJi Bio,
2024-04-22,명가녹용 주식회사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,명가녹용 주식회사,MyungGa,
2024-04-05,향나바이오 주식회사,DEER HORN,녹용,Deer velvet (dried),Russia,향나바이오 주식회사,Hyangna Bio,
2024-03-27,명가녹용 주식회사,DRIED RED DEER VELVET ANTLER(WHOLE),녹용,Deer velvet (dried),New Zealand,명가녹용 주식회사,MyungGa,
2024-03-26,유진통상,DRIED REDDEER VELVER ANTLER,건조녹용,Deer velvet (dried),New Zealand,유진통상,Yujin Trade,
2024-03-26,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-03-12,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-02-27,유진통상,DEER HORN,건조녹용,Deer velvet (dried),Russia,유진통상,Yujin Trade,
2024-02-22,온바이오,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,온바이오,OnBio,
2024-02-21,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-02-15,(주)천호엔케어,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)천호엔케어,Chunho N Care,
