date,series,hs_code,hs_label,value,unit,country,notes,hs_code_10digit,product_type
2022-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",153450,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",20912,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",3154146,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",10573,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",1415728,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",4905,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",627779,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",7420,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",355092,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",10663,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",950405,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2022-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
